hotel,fecha,puntuacion,nombre,titulo,positivo,negativo
Vitoria,Escrito en 8 de enero de 2026,Sin puntuación,Gloria,“Cómoda”,"Ubicación céntrica, sistema de check-in, instalaciones",El lavavajillas no funcionaba
Vitoria,Escrito en 7 de enero de 2026,Sin puntuación,Echandia,Excepcional,"Demasiado hermoso, muy cómodo y excelente ubicación. Sin duda volveremos.",
Vitoria,Escrito en 5 de enero de 2026,Sin puntuación,Angel,Muy bien,Está bastante nuevo,Tiene calefacción por suelo radiante. Nos dieron una habitación que no tenía encendida la calefacción y estaba a 17 grados. Tardó horas en coger temperatura por la inercia que tiene este tipo de calefacciones. Una vez cogida la temperatura ya se estuvo bien.
Vitoria,Escrito en 5 de enero de 2026,Sin puntuación,Antonio,Muy bien,Ubicación y equipamiento del apartamento,La habitación olía mucho a tabaco (algo que nos resulta especialmente desagradable)...se fue eliminando tras ventilar y pasar algunas horas pero al principio de la estancia resultó molesto.
Vitoria,Escrito en 4 de enero de 2026,Sin puntuación,Vasquez,Excepcional,"Servicio de primera, precios muy accesibles y muy cerca al centro, lo tiene todo.
Seguro repetiré.",
Vitoria,Escrito en 3 de enero de 2026,Sin puntuación,Helenca,Fantástico,Las instalaciones eran nuevas y modernas,
Vitoria,Escrito en 2 de enero de 2026,Sin puntuación,Andrea,“Apartamento muy bonito y limpio en Vitoria”,"El apartamento está muy nuevo y limpio. Tal cual se muestra en la foto. Todo muy bonito y cuidado al detalle. 
Además te dejan un pack de bienvenida con dos botellitas de agua, una bolsita pequeña de patatas fritas y dos cápsulas de café.",Lo peor que tiene el apartamento es el sofá cama. Está muy usado y es súper incómodo. No lo recomiendo para dormir. Hasta para sentarse se hunde.
Vitoria,Escrito en 1 de enero de 2026,Sin puntuación,Xavier,Fantástico,Instalaciones nuevas y comodas,
Vitoria,Escrito en 29 de diciembre de 2025,Sin puntuación,Raquel,“Buena”,Muy amplio y preparado,La persona que duerme en el sofá cama está algo más incómodo
Vitoria,Escrito en 22 de diciembre de 2025,Sin puntuación,Juan,“Agradable”,La ubicación,"Las habitaciones, se suponía que constaba el apartamento de dos habitaciones grandes y eso no fue lo que encontramos"
Vitoria,Escrito en 21 de diciembre de 2025,Sin puntuación,Isaac,“Genial alojamiento”,"Alojamiento genial. Cocina completamente equipada, lavadora, microondas con grill. Baño nuevo, todo impecable.",
Vitoria,Escrito en 12 de diciembre de 2025,Sin puntuación,Montero,Bien,"Lo que mas me gustó fue la ubicación ya que no estabas en pleno centro, pero muy cerquita para llegar andando.","No me gustó pagar un precio de 4 personas por un apartamento, y que tengan un sofá cama, que menos mal que íbamos personas jóvenes, porque sino, es imposible dormir ahí, por lo incómodo que era. Y tampoco me gustó el parking, ya que es un añadido a la reserva, no es barato a mi parecer, y el primer día que llegamos un poco mas tarde, nos las vimos y nos las deseamos para poder aparcar."
Vitoria,Escrito en 11 de diciembre de 2025,Sin puntuación,Gómez,Bien,,"En mi reserva pone escritorio, y no tuve, viajo por trabajo y era una necesidad, tuve que trabajar en la encimera de la isla de la cocina con sillas altas sin respaldo y he acabado con dolor de espalda.Tampoco había tostadora. Compre algo de pan para tostar y no lo pude hacer en la tostadora."
Vitoria,Escrito en 10 de diciembre de 2025,Sin puntuación,Cristina,“Expectativas cumplidas”,"Ubicación excelente. Muy limpio, la cama muy cómoda.
La cocina pequeña pero tenía de todo, hasta lavavajillas y lavadora
Luminoso",Lo único malo fue que el nórdico del sofá cama era de 90cm cuando la cama era mucho más ancha
Vitoria,Escrito en 8 de diciembre de 2025,Sin puntuación,Manuel,“Perfecto”,Limpieza y decoración,Almohadas
Vitoria,Escrito en 8 de diciembre de 2025,Sin puntuación,Jose,"“Muy buena , relacion calidad-precio y muy bien ubicado”","Me gusto, la limpieza, centrico. A 10 minutos ( o menos) del centro historico. Servicios como ( supermercado, cafeterias, restaurantes)  a 1 minuto","El tener que hacer el check-in uno mismo, aunque no me resulto complicado, creo que seria mucho mejor el que habria alguna persona para poder hacerlo .El tener la salida a las 11h, normalmente las salida suele ser entre las 12 y 13 horas, aunque comprendo que hay que realizar limpieza, pero una hora mas estaria muy bien. Y el no tener una consigna o un lugar para poder dejar maletas, bien como servicio del alojamiento o bien de pago."
Vitoria,Escrito en 8 de diciembre de 2025,Sin puntuación,Elalbarracin,Bien,Buena ubicación. Los baños perfectos. Las camas bien. El sofá cama una castaña.,El olor a humo de la habitación. Pero como no hay recepción no puedes protestar a nadie.
Vitoria,Escrito en 7 de diciembre de 2025,Sin puntuación,Gemma,“Estancia perfecta”,"Todo, la ubicación, lo fácil que es acceder y lo bien comunicado que está con todo","Hacía muchísima calor, aunque es diciembre pero en el apartamento hacía mucha calor .. por todo para mi fué perfecto ! Lo único la calefacción demasiado alta"
Vitoria,Escrito en 6 de diciembre de 2025,Sin puntuación,Zamara,Excepcional,Todo,Nada
Vitoria,Escrito en 3 de diciembre de 2025,Sin puntuación,Ane,Fantástico,Centrico y acogedor.,"Al ser el octavo piso las ventanas solo se abre en batiente, por lo que pasamos un poco de calor."
Vitoria,Escrito en 2 de diciembre de 2025,Sin puntuación,Dolores,“Apartamento perfecto a 10 minutos de la plaza de la Virgen Blanca”,"La ubicación, la limpieza y la comodidad del apartamento. Muy fácil y muy rápido contactar con la conserjería 24 horas.",Nada
Vitoria,Escrito en 2 de diciembre de 2025,Sin puntuación,Elixabete,Muy bien,,El sofa cama es muy incomodo.
Vitoria,Escrito en 1 de diciembre de 2025,Sin puntuación,Sanz,“Un poco caro para lo que ofrece”,La ubicación,Un poco caro para lo que ofrece.
Vitoria,Escrito en 28 de noviembre de 2025,Sin puntuación,Touriño,“Perfecto”,Nos encantó,Nos gusto todo
Vitoria,Escrito en 9 de septiembre de 2025,Sin puntuación,Javier,Fantástico,"Localización y posibilidad de mascotas, todo estaba muy nuevo y era de fácil acceso",
Vitoria,Escrito en 8 de septiembre de 2025,Sin puntuación,Laura,“Muy buen hospedaje en Vitoria”,"Muy buena ubicación, parking en el propio edificio. Instalaciones muy nuevas, limpias y cómodas. El apartamento estaba bien equipado. Tiene un supermercado justo al lado.","No hay personal de recepción físico, todo es con códigos lo cual puede ser dificultoso para personas mayores. Faltan enchufes en la encimera. El sofá cama está bien para niños o jóvenes, pero para adultos puede ser algo incómodo. Faltaban elementos de limpieza básicos como escoba, escobilla de baño etc"
Vitoria,Escrito en 8 de septiembre de 2025,Sin puntuación,M,Fantástico,Buenísima ubicación.,"El sofá cama no es nada apropiado para la calidad del  apartamento .Es muy incómodo.Tuvimos que tirar el colchón al suelo.
Echamos de menos un cepillo,recogedor y fregona."
Vitoria,Escrito en 8 de septiembre de 2025,Sin puntuación,Jbernal,"“Genial apartamento para la familia, muy cerca del centro.”","Genial apartamento para la familia, muy cerca del centro. La atención al cliente es rápida y eficiente.","El sofá cama no es muy cómodo para un adulto y la lavadora/secadora no funcionó como esperábamos, la ropa no se secaba!"
Vitoria,Escrito en 7 de septiembre de 2025,Sin puntuación,Laura,Fantástico,"Todo muy limpio, excelente ubicación, encontramos zona blanca para aparcar en las inmediaciones.",
Vitoria,Escrito en 5 de septiembre de 2025,Sin puntuación,Sandro,“Agradable”,La ubicación y la comodidad de  tener parquin,Lo único que debería de tener es un cepillo un recogedor y cubo con fregona ya que    no pasan a limpiar pues uno mismo puede mantener la limpieza
Vitoria,Escrito en 4 de septiembre de 2025,Sin puntuación,Sheila,“Cómodo”,Está muy equipado,Le faltaba un poco más de papel higiénico
Vitoria,Escrito en 1 de septiembre de 2025,Sin puntuación,Rafael,Fantástico,La ubicación,El sofá cama muy ruidoso
Vitoria,Escrito en 1 de septiembre de 2025,Sin puntuación,Laura,Fantástico,"Muy bien situado, apartamento cómodo y con todo lo necesario para pasar unos dias (horno, microondas, lavadora...)",
Vitoria,Escrito en 31 de agosto de 2025,Sin puntuación,Juan,“Visita Vitoria agosto 2025”,La ubicación.,Nos dieron habitación a una zona interior
Vitoria,Escrito en 30 de agosto de 2025,Sin puntuación,Ocaña,Fantástico,Muy buena ubicación. Instalaciones nuevas y modernas. Muy acogedoras y a 5 minutos del centro de la ciudad.,"Es sofá cama es muy incómodo e inapropiado para un establecimiento de estas características. El desayuno lo sirven en una cafetería independiente enfrente del edificio de apartamentos, aunque es cierto que desayunamos estupendamente."
Vitoria,Escrito en 30 de agosto de 2025,Sin puntuación,Gonzalo,“Limpio y acogedor”,"Limpieza, acceso, ubicación",El colchón no era muy cómodo
Vitoria,Escrito en 30 de agosto de 2025,Sin puntuación,Enrique,Excepcional,"Ubicación muy buena, apartamento muy cómodo y excelente para viajar con perro",
Vitoria,Escrito en 30 de agosto de 2025,Sin puntuación,Rincon,Fantástico,La instalación  y la atención muy bien.,
Vitoria,Escrito en 29 de agosto de 2025,Sin puntuación,Carol,“Impecable y un poco caro”,"Todo impecable, limpio, cómodo, bonito, muy céntrico, acceso fácil y automatizado...",La única pega es que me parece caro.
Vitoria,Escrito en 29 de agosto de 2025,Sin puntuación,Blanca,Excepcional,"Limpieza, ubicación y silencio",
Vitoria,Escrito en 29 de agosto de 2025,Sin puntuación,Laura,Fantástico,La limpieza y ubicación.,Se echa en parte una cara visible del alojamiento.
Vitoria,Escrito en 29 de agosto de 2025,Sin puntuación,Omisae,“Perfecto”,La limpieza,
Vitoria,Escrito en 28 de agosto de 2025,Sin puntuación,Carlos,Muy bien,Ubicación,La cama del sofá
Vitoria,Escrito en 28 de agosto de 2025,Sin puntuación,Gabriela,Fantástico,"La comodidad del apartamento. Acogedor y amplio
Su ubicación.","El check-in,  para mi gusto, un poco tarde, hasta las 15:00h no es posible entrar y sin posibilidad de dejar las maletas en el hotel si llegas antes."
Vitoria,Escrito en 28 de agosto de 2025,Sin puntuación,Gilberto,Excepcional,La comodidad y amplitud de las estancias,Nada
Vitoria,Escrito en 27 de agosto de 2025,Sin puntuación,Carlos,“Muy bien situado y cómodo”,"Muy cerca del centro, limpio y comodo",El sistema de apertura con código es incómodo
Vitoria,Escrito en 27 de agosto de 2025,Sin puntuación,Manuel,Fantástico,"Está ubicado en una zona tranquila donde se encuentra fácilmente aparcamiento. Además, está a 10 minutos andando del centro.",El sofá cama no es cómodo.
Vitoria,Escrito en 25 de agosto de 2025,Sin puntuación,Eduardo,Muy bien,La amplitud,No te ayudan con el check in
Vitoria,Escrito en 25 de agosto de 2025,Sin puntuación,Estrella,“Cómoda y tranquila”,"La ubicación, limpieza del apartamento, silencia y desayuno","Por ponerle una pega, cuando abres el sofá cama queda muy estrecho y no se puede pasar"
Vitoria,Escrito en 1 de agosto de 2025,Sin puntuación,Miguel,"“Cómodo, moderno, limpio y completisimo”",Impecable,
Vitoria,Escrito en 1 de agosto de 2025,Sin puntuación,Garazi,“Muy bien”,"Muy céntrico, limpio, cómodo y amplio. Fácil entrada.",Me gustó todo
Vitoria,Escrito en 1 de agosto de 2025,Sin puntuación,Marta,Fantástico,Limpieza y apartamento genial. Bien ubicado y apartamento bueno y bonito,El sofá cama con un colchón muy malo.
Vitoria,Escrito en 31 de julio de 2025,Sin puntuación,Paola,Bien,La ubicación,"En vuestro anuncio, lo anuncian como apartahotel de 4 estrellas y la realidad es que es de 2"
Vitoria,Escrito en 31 de julio de 2025,Sin puntuación,Arancha,“Super bien”,Estaba todo muy limpio y nuevo. La calle donde estaba ubicado estaba súper bien tenía un montón de tiendas y restaurantes cerca,Que tuvimos que  montar nosotros el sofá cama y era un poco lío
Vitoria,Escrito en 31 de julio de 2025,Sin puntuación,Manuel,Muy bien,,La ducha no traga el agua
Vitoria,Escrito en 31 de julio de 2025,Sin puntuación,Jose,Muy bien,La ubicación y la limpieza,"Que éramos 2 parejas y había dos camas,una de matrimonio y una pequeña. Una persona  tuvo q dormir en el sofá cama"
Vitoria,Escrito en 29 de julio de 2025,Sin puntuación,Juan,“Todo muy bien”,Proximidad con el centro,Parking muy justo para coche grande
Vitoria,Escrito en 28 de julio de 2025,Sin puntuación,Javier,Excepcional,Apartamento muy limpio y cómodo. A 20 minutos andando del centro. Aparcamiento gratuito en calles próximas.,
Vitoria,Escrito en 28 de julio de 2025,Sin puntuación,Rut,“Desconexión”,El apartamento en sí,Los colchones
Vitoria,Escrito en 28 de julio de 2025,Sin puntuación,Jesus,“BIEN EN GENERAL”,La ubicación y la limpieza,"el sofa cama era muy blando para dormir, muy incómodo"
Vitoria,Escrito en 28 de julio de 2025,Sin puntuación,Carolina,“Céntrico apartamento en Vitoria”,La situación y las instalaciones.,"Que todo fuera por la aplicación o por mail, aunque puedes llamarlos del telefonillo de la entrada, por nosotros no, pero vimos gente mayor liada. La relación calidad-precio es excesiva. No vino nadie a limpiar y todavía no tengo claro si es por no pedirlo por la aplicación. Te dejaban un kit de limpieza, pero era escaso para los 5 días que íbamos. Y lo peor es la wifi compartida, va fatal y además la televisión no es smart, y no hubo manera de conectar el crome cast por la wifi, lo comunicamos y nada."
Vitoria,Escrito en 27 de julio de 2025,Sin puntuación,Jose,"“En general, interesante alojamiento”",Ubicación y equipamiento,"La nevera, por la parte posterior, a veces vibraba en exceso"
Vitoria,Escrito en 27 de julio de 2025,Sin puntuación,Sara,“Apartamento nuevo y moderno ideal para una familia de cuatro.”,"Un apartamento bonito y moderno ideal para viajar una familia de cuatro miembros algunos días. Equipada con una cocina totalmente nueva con todos los pequeños electrodomésticos modernísimos. 
Cuenta con un dormitorio con armario y cómoda de tres cajones y una cama muy confortable, tanto colchón como almohadas. El sofá cama del salón quizás no tan cómodo, pero adecuado para dos niños o adolescentes.","Echamos en falta más luz artificial sobre todo en el baño y la falta estropajo, bayeta, una escoba con recogedor y fregona con cubo para mantener limpio el apartamento durante nuestra estancia."
Vitoria,Escrito en 26 de julio de 2025,Sin puntuación,Sergio,“Muy buena elección.”,"Es un apartahotel muy comodo, bien ubicado y muy limpio. Con cocina bien equipada. Los muebles y el apartamento muy nuevo. Se entra fácil de manera on lline, con la clave que te envían o su aplicación. Y el garage, aunque de pago, es un punto a favor de la instalación.","Por decir algo, que no había cafetera en la cocina.
La echamos en falta."
Vitoria,Escrito en 25 de julio de 2025,Sin puntuación,Pedro,“Agradable”,"Muy nuevo y todo lo necesario para unos dias, buena ubicación.",El sofá cama muy incómodo para dos personas
Vitoria,Escrito en 25 de julio de 2025,Sin puntuación,Laura,“Muy céntrico”,Luminoso..céntrico..muy bien equipado..nos obsequiaron con dos botellas de agua y un snack y un pack de limpieza..cama y sofá cama muy cómodo..no vimos a nadie del personal..rodeado de bares y cafeterías muy ricas,Tuvimos un poco de dificultad al abrir la puerta del edificio pero se resolvió sin problema
Vitoria,Escrito en 25 de julio de 2025,Sin puntuación,Ceballos,Muy bien,,No me gustó que no tienen persianas y entra claridad a las habitaciones.
Vitoria,Escrito en 25 de julio de 2025,Sin puntuación,Maria,Bien,"Muy bien ubicado, muy bien equipado, con lavadora, lavavajillas, horno microondas... decoración muy moderna y apartamento amplio, cafeterías para desayunar y en la misma calle hay zona de aparcamiwnto gratuito.",Que el sofá  se hundía cuando te sentabas y las tapicerias de sillones y cojines estaba con cercos de manchas al igual.que una de las fundas de almohada interiores que tenia unos cercos amarillos increibles de suciedad.
Vitoria,Escrito en 25 de julio de 2025,Sin puntuación,Noelia,“Lo más parecido a estar en el hogar”,Estaba muy cuidado.,Que no tuviera una escoba ni fregona
Vitoria,Escrito en 25 de julio de 2025,Sin puntuación,M,“Si sois una familia de 4 cuidado con el sofá cama”,"Esta a 10 mins de la catedral de Vitoria, es una finca de pisos turísticos que están muy limpios y nuevos y se accede con código",El sofá cama era horrible....no es nada intuitivo para abrirlo y se cerraba cada dos por tres..no descansaron nada las personas que durmieron ahí
Vitoria,Escrito en 25 de julio de 2025,Sin puntuación,María,“Ideal para pasar unos días en la ciudad.”,"Bonito, buena ubicación, cocina bien equipada, buen detalle de bienvenida y el kit de limpieza.","Eché de menos una escoba y recogedor en el apartamento para el día a día a parte de la limpieza que se haga por parte de la empresa.
El sofá cama es incómodo para dormir más de un día."
Vitoria,Escrito en 25 de julio de 2025,Sin puntuación,Aurora,“Puede mejorar”,"Mal el horario de entradas,,debe ser cuando el cliente llegue, sea 8hs , 12"",,,,o 3de la mañanas, cada usuario es diferente y su estancia termina en 24hs, no cuando ustedes digan,,un  hotel está para éso dar servicio de hospedaje, no a su conveniencia,, mucho ruido las hb de frente a la calle gastéiz,,debería tener otro tipo de ventanas.","Garaje y desayunos, por el precio de estancia, debería incluir"
