nombre,fecha,puntuacion,titulo,comentario_positivo,comentario_negativo,pais,pagina,hotel
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,CordobaPatio
